"GUID","Label","Description","Specification","Type","Resource Type","Dimension","Information Element","Source","Example Implementation"
"2f32a5b5-6649-43da-b820-5005dea846e0","Measure Basis Of Record Single Completeness","Test to see whether a provided dwc:basisOfRecord contains a non-empty value.  Does not test validity of a non-empty value.","NOT_COMPLETE if basisOfRecord is null, an empty string, contains only white space, contains only pipe characters '|', or contains only a string serialization interpeted as null, otherwise COMPLETE.","Measure","SingleRecord","Completeness","dwc:basisOfRecord","Kurator","https://github.com/kurator-org/dwc_completeness/blob/master/src/main/java/org/datakurator/dwc_comp/CompletenessQC.java"
"497a42f1-3a03-4c00-aa40-89166bcf4ff3","Measure Class Single Completeness","Test to see whether a provided dwc:class contains a non-empty value.  Does not test validity of a non-empty value.","NOT_COMPLETE if class is null, an empty string, contains only white space, contains only pipe characters '|', or contains only a string serialization interpeted as null, otherwise COMPLETE.","Measure","SingleRecord","Completeness","dwc:class","Kurator","https://github.com/kurator-org/dwc_completeness/blob/master/src/main/java/org/datakurator/dwc_comp/CompletenessQC.java"
"c008761c-0421-4303-8c22-9fb531747836","Measure Continent Single Completeness","Test to see whether a provided dwc:continent contains a non-empty value.  Does not test validity of a non-empty value.","NOT_COMPLETE if continent is null, an empty string, contains only white space, contains only pipe characters '|', or contains only a string serialization interpeted as null, otherwise COMPLETE.","Measure","SingleRecord","Completeness","dwc:continent","Kurator","https://github.com/kurator-org/dwc_completeness/blob/master/src/main/java/org/datakurator/dwc_comp/CompletenessQC.java"
"27cf8f08-402d-4d88-8d87-98adfd32ac15","Measure Coordinate Precision Single Completeness","Test to see whether a provided dwc:coordinatePrecision contains a non-empty value.  Does not test validity of a non-empty value.","NOT_COMPLETE if coordinatePrecision is null, an empty string, contains only white space, contains only pipe characters '|', or contains only a string serialization interpeted as null, otherwise COMPLETE.","Measure","SingleRecord","Completeness","dwc:coordinatePrecision","Kurator","https://github.com/kurator-org/dwc_completeness/blob/master/src/main/java/org/datakurator/dwc_comp/CompletenessQC.java"
"3badf459-d7d2-476c-8618-26308b5638a3","Measure Coordinate Uncertanty In Meters Single Completeness","Test to see whether a provided dwc:coordinateUncertantyInMeters contains a non-empty value.  Does not test validity of a non-empty value.","NOT_COMPLETE if coordinateUncertantyInMeters is null, an empty string, contains only white space, contains only pipe characters '|', or contains only a string serialization interpeted as null, otherwise COMPLETE.","Measure","SingleRecord","Completeness","dwc:coordinateUncertantyInMeters","Kurator","https://github.com/kurator-org/dwc_completeness/blob/master/src/main/java/org/datakurator/dwc_comp/CompletenessQC.java"
"77f3df14-6f9b-466a-be72-44b2cd3b84de","Measure Country Single Completeness","Test to see whether a provided dwc:country contains a non-empty value.  Does not test validity of a non-empty value.","NOT_COMPLETE if country is null, an empty string, contains only white space, contains only pipe characters '|', or contains only a string serialization interpeted as null, otherwise COMPLETE.","Measure","SingleRecord","Completeness","dwc:country","Kurator","https://github.com/kurator-org/dwc_completeness/blob/master/src/main/java/org/datakurator/dwc_comp/CompletenessQC.java"
"026ff557-4d48-48e8-b9b8-5f8f26177b51","Measure Country Code Single Completeness","Test to see whether a provided dwc:countryCode contains a non-empty value.  Does not test validity of a non-empty value.","NOT_COMPLETE if countryCode is null, an empty string, contains only white space, contains only pipe characters '|', or contains only a string serialization interpeted as null, otherwise COMPLETE.","Measure","SingleRecord","Completeness","dwc:countryCode","Kurator","https://github.com/kurator-org/dwc_completeness/blob/master/src/main/java/org/datakurator/dwc_comp/CompletenessQC.java"
"9a9dda02-0f06-42ef-90b6-0367d589fb3a","Measure County Single Completeness","Test to see whether a provided dwc:county contains a non-empty value.  Does not test validity of a non-empty value.","NOT_COMPLETE if county is null, an empty string, contains only white space, contains only pipe characters '|', or contains only a string serialization interpeted as null, otherwise COMPLETE.","Measure","SingleRecord","Completeness","dwc:county","Kurator","https://github.com/kurator-org/dwc_completeness/blob/master/src/main/java/org/datakurator/dwc_comp/CompletenessQC.java"
"5fe7e63e-2b33-40db-869d-d9946138bbec","Measure Data Generalizations Single Completeness","Test to see whether a provided dwc:dataGeneralizations contains a non-empty value.  Does not test validity of a non-empty value.","NOT_COMPLETE if dataGeneralizations is null, an empty string, contains only white space, contains only pipe characters '|', or contains only a string serialization interpeted as null, otherwise COMPLETE.","Measure","SingleRecord","Completeness","dwc:dataGeneralizations","Kurator","https://github.com/kurator-org/dwc_completeness/blob/master/src/main/java/org/datakurator/dwc_comp/CompletenessQC.java"
"9d149637-f3d5-4ceb-a077-79fa41857fee","Measure Date Identified Single Completeness","Test to see whether a provided dwc:dateIdentified contains a non-empty value.  Does not test validity of a non-empty value.","NOT_COMPLETE if dateIdentified is null, an empty string, contains only white space, contains only pipe characters '|', or contains only a string serialization interpeted as null, otherwise COMPLETE.","Measure","SingleRecord","Completeness","dwc:dateIdentified","Kurator","https://github.com/kurator-org/dwc_completeness/blob/master/src/main/java/org/datakurator/dwc_comp/CompletenessQC.java"
